Asia de Cuba ,8.1
Dos Caminos Times Square ,8.1
Blue Fin ,8.1
Dos Caminos Meatpacking District ,8.1
Butter Midtown  ,8.1
Natsumi  ,8.1
Socarrat Paella Bar - East ,8.1
Nice Matin  ,8.1
Cherry Izakaya,8.0
Kristalbelli  ,8.0
Bocelli Ristorante,8.0
El Vez ,8.0
Bill's Food & Drink,8.0
Barbetta  ,8.0
Docks Oyster Bar ,8.0
Sofrito on the Hudson  ,8.0
Etcetera Etcetera  ,8.0
Gran Morsi ,7.9
The Sea Grill ,7.9
Savore Ristorante  ,7.9
Bar Italia  ,7.9
Dos Caminos SoHo ,7.9
Bobby Van's Steakhouse & Grill - Broad Street ,7.9
Remi Restaurant,7.9
Benchmark Restaurant  ,7.9
Sutton Inn ,7.9
Haru Amsterdam Avenue ,7.9
Brasserie 8 1/2  ,7.9
Bread & Tulips ,7.9
ViceVersa ,7.9
Anassa Taverna ,7.9
Haru Third Avenue ,7.9
Michael's Restaurant,7.9
Barraca ,7.8
Mr. Chow New York - Tribeca  ,7.8
Mr. Chow New York - 57th Street  ,7.8
Shun Lee West  ,7.8
Les Halles - Downtown ,7.8
Pershing Square  ,7.8
Gabriel's Bar & Restaurant ,7.8
FishTag  ,7.8
Resto ,7.8
Eolo: Seasonal Sicilian Kitchen  ,7.8
Sessanta Ristorante ,7.8
Bann  ,7.8
Delmonico's Kitchen  ,7.7
The Gander ,7.7
Lexington Brass,7.7
Haru Gramercy Park ,7.7
Rossini's Restaurant ,7.7
Thalia Restaurant  ,7.7
Shun Lee Palace ,7.7
Bo's Kitchen & Bar Room ,7.7
Bobby Van's Grill - West 45th Street ,7.7
Il Mulino Trattoria ,7.7
Glass House Tavern  ,7.7
Brasserie Ruhlmann  ,7.6
La Fonda Del Sol  ,7.6
Limani ,7.6
Abboccato Italian Kitchen  ,7.5
Pera Mediterranean Brasserie ,7.5
Sarabeth's Park Avenue South ,7.5
City Lobster & Steak ,7.5
Fino Ristorante Italiano ,7.5
Soba Nippon,7.5
Triomphe Restaurant ,7.5
Aretsky's Patroon ,7.5
La Loteria,7.5
Michael Jordan's The Steak House N.Y.C.  ,7.5
Clement ,7.4
Cipriani Dolci  ,7.4
Essex ,7.4
Pigalle ,7.4
Bistro SK,7.4
Charlie Palmer Steak ,7.4
Carol's Cafe ,7.4
The Russian Tea Room ,7.3
Da Noi - Midtown Manhattan,7.3
North Square Restaurant & Lounge ,7.3
Nino's Restaurant ,7.2
Darbar ,7.2
Restaurant Nippon,7.2
Morton's Grille ,7.2
The National Bar & Dining Rooms  ,7.2
Andanada  ,7.2
Tasca Chino ,7.1
Bello Restaurant ,7.1
Macondo West ,7.1
Pera SoHo ,7.1
Davio's Northern Italian Steakhouse ,7.1
Mint Restaurant,7.1
Il Mulino Prime,7.1
Adalya,7.1
Ted's Montana Grill ,7.1
The Palm Court,7.1
Naples 45 ,7.0
David Burke at Bloomingdale's  ,7.0
Grotta Azzurra Restaurant ,7.0
Vermilion  ,6.9
Texas de Brazil,6.9
The Fillmore Room,6.9
Vivaldi ,6.9
2 West ,6.8
Scaletta Ristorante ,6.7
Southgate Bar & Restaurant  ,6.7
Ed's Chowder House ,6.6
Empire Steak House - West 54th Street ,6.4
Avaton Estiatorio ,6.2
Crossroads American Kitchen and Bar ,6.1
Blenheim ,6.1
Rosa Mexicano—Lincoln Center,0
Gaby Brasserie Française ,0
Benares–Tribeca ,0
Rock Center Café ,0
Café Centro  ,0
Empellón Taqueria  ,0
Obicà Mozzarella Bar Pizza e Cucina  ,0
Koi SoHo ,0
Le Périgord ,0
Élan,0
Monkey Bar ,0
MP Taverna—Brooklyn,0
Empellón Cocina ,0
Rosa Mexicano–Tribeca,0
Paul's on Times Square ,0
Ça Va Brasserie  ,0
Café D'Alsace  ,0
Benares—Midtown ,0
Bocca Di Bacco—Theatre District ,0
Distilled NY ,0
